y_1_25,y_2_25,y_5_25,y_6_25,y_mc_hu_25,y_1,y_2,y_5,y_6,y_mc_hu
2.4221,2.4813,0,0,0,2.409,2.5386,0,0,0
2.4312,2.471,0,0,0,2.4039,2.5301,0,0,0
2.4334,2.4627,0,0,0,2.4063,2.5556,0,0,0
2.4589,2.4651,0,0,0,2.4077,2.5598,0,0,0
2.4533,2.4697,0,0,0,2.4159,2.5586,0,0,0
2.4427,2.4744,0,0,0,2.4065,2.5469,0,0,0
2.4463,2.4845,0,0,0,2.4076,2.5244,0,0,0
2.4538,2.4828,0,0,0,2.4134,2.544,0,0,0
2.4453,2.4781,0,0,0,2.42,2.5581,0,0,0
2.4602,2.5069,0,0,0,2.4029,2.5715,0,0,0
2.4766,2.4932,0,0,0,2.41,2.5693,0,0,0
2.4547,2.4984,0,0,0,2.4119,2.5743,0,0,0
2.4385,2.4846,0,0,0,2.4203,2.5793,0,0,0
2.427,2.4934,0,0,0,2.4139,2.5737,0,0,0
2.4388,2.4957,0,0,0,2.4208,2.5754,0,0,0
2.422,2.5027,0,0,0,2.3771,2.5674,0,0,0
2.4208,2.4968,0,0,0,2.3805,2.5365,0,0,0
2.4335,2.4955,0,0,0,2.3878,2.5484,0,0,0
2.407,2.5067,0,0,0,2.3822,2.5391,0,0,0
2.4199,2.5055,0,0,0,2.4021,2.5394,0,0,0
2.4183,2.4914,0,0,0,2.426,2.555,0,0,0
2.4222,2.4929,0,0,0,2.4202,2.5506,0,0,0
2.4185,2.4954,0,0,0,2.4132,2.5571,0,0,0
2.4226,2.5044,0,0,0,2.4018,2.537,0,0,0
2.4401,2.514,0,0,0,2.4092,2.5326,0,0,0
2.4574,2.5044,0,0,0,2.4082,2.524,0,0,0
2.462,2.5356,0,0,0,2.414,2.5117,0,0,0
2.4782,2.5403,0,0,0,2.4295,2.5364,0,0,0
2.4864,2.5318,0,0,0,2.4124,2.5439,0,0,0
2.4769,2.5225,0,0,0,2.4199,2.5639,0,0,0
2.4626,2.5168,0,0,0,2.4112,2.564,0,0,0
2.472,2.5297,0,0,0,2.4082,2.5796,0,0,0
2.4581,2.5424,0,0,0,2.4063,2.5799,0,0,0
2.4693,2.5369,0,0,0,2.4219,2.5906,0,0,0
2.4652,2.5344,0,0,0,2.4381,2.5816,0,0,0
2.4566,2.535,0,0,0,2.4253,2.6133,0,0,0
2.4643,2.5066,0,0,0,2.4105,2.5856,0,0,0
2.4571,2.5138,0,0,0,2.4026,2.6113,0,0,0
2.4708,2.5058,0,0,0,2.4274,2.6,0,0,0
2.4721,2.5034,0,0,0,2.4357,2.6003,0,0,0
2.4729,2.5058,0,0,0,2.4019,2.6159,0,0,0
2.4844,2.5084,0,0,0,2.4343,2.5995,0,0,0
2.4798,2.512,0,0,0,2.4061,2.6396,0,0,0
2.4676,2.5192,0,0,0,2.421,2.637,0,0,0
2.4746,2.5201,0,0,0,2.418,2.6369,0,0,0
2.4949,2.5164,0,0,0,2.4312,2.6086,0,0,0
2.4837,2.538,0,0,0,2.4128,2.6406,0,0,0
2.4918,2.5575,0,0,0,2.4155,2.6521,0,0,0
2.4853,2.567,0,0,0,2.4339,2.6398,0,0,0
2.5077,2.5496,0,0,0,2.4484,2.6237,0,0,0
2.5029,2.5719,0,0,0,2.4536,2.6356,0,0,0
2.512,2.5752,0,0,0,2.4363,2.6164,0,0,0
2.5012,2.5551,0,0,0,2.4216,2.6076,0,0,0
2.5097,2.5619,0,0,0,2.4443,2.6052,0,0,0
2.4929,2.5459,0,0,0,2.4686,2.5799,0,0,0
2.4918,2.5445,0,0,0,2.4714,2.5782,0,0,0
2.4919,2.5531,0,0,0,2.4706,2.5686,0,0,0
2.5001,2.5404,0,0,0,2.4481,2.5621,0,0,0
2.5027,2.5306,0,0,0,2.4175,2.5696,0,0,0
2.4954,2.5404,0,0,0,2.4303,2.5835,0,0,0
2.4929,2.5471,0,0,0,2.4291,2.5768,0,0,0
2.501,2.552,0,0,0,2.439,2.5874,0,0,0
2.5031,2.546,0,0,0,2.4546,2.5906,0,0,0
2.4921,2.5371,0,0,0,2.4465,2.584,0,0,0
2.4906,2.555,0,0,0,2.4699,2.5975,0,0,0
2.4928,2.5479,0,0,0,2.4649,2.6143,0,0,0
2.4841,2.5388,0,0,0,2.4712,2.606,0,0,0
2.4697,2.5413,0,0,0,2.4794,2.6302,0,0,0
2.4801,2.5517,0,0,0,2.4669,2.6392,0,0,0
2.4845,2.5733,0,0,0,2.4452,2.6424,0,0,0
2.4833,2.5698,0,0,0,2.4673,2.6405,0,0,0
2.4932,2.5534,0,0,0,2.4665,2.638,0,0,0
2.5103,2.5732,0,0,0,2.4538,2.6181,0,0,0
2.505,2.5614,0,0,0,2.4547,2.6243,0,0,0
2.5235,2.5545,0,0,0,2.4433,2.6231,0,0,0
2.5452,2.5548,0,0,0,2.435,2.6505,0,0,0
2.5396,2.567,0,0,0,2.434,2.657,0,0,0
2.5374,2.5541,0,0,0,2.4545,2.6415,0,0,0
2.5152,2.5743,0,0,0,2.4478,2.6334,0,0,0
2.5063,2.5821,0,0,0,2.4549,2.6418,0,0,0
2.5052,2.5855,0,0,0,2.4488,2.6198,0,0,0
2.5279,2.5754,0,0,0,2.4544,2.6391,0,0,0
2.5263,2.5707,0,0,0,2.4575,2.6202,0,0,0
2.5264,2.5774,0,0,0,2.4615,2.6538,0,0,0
2.5181,2.5792,0,0,0,2.4781,2.6616,0,0,0
2.5063,2.555,0,0,0,2.464,2.6259,0,0,0
2.502,2.5639,0,0,0,2.4691,2.6494,0,0,0
2.5063,2.5748,0,0,0,2.4438,2.64,0,0,0
2.5195,2.5917,0,0,0,2.4412,2.6468,0,0,0
2.5376,2.5956,0,0,0,2.4677,2.6634,0,0,0
2.5471,2.5745,0,0,0,2.4748,2.6631,0,0,0
2.5439,2.5542,0,0,0,2.4782,2.6564,0,0,0
2.5155,2.5695,0,0,0,2.4906,2.6266,0,0,0
2.5244,2.578,0,0,0,2.4735,2.591,0,0,0
2.5252,2.5632,0,0,0,2.4832,2.6114,0,0,0
2.5227,2.5815,0,0,0,2.4726,2.6157,0,0,0
2.5361,2.5803,0,0,0,2.4726,2.6164,0,0,0
2.5238,2.5745,0,0,0,2.4821,2.6568,0,0,0
2.5105,2.5858,0,0,0,2.4754,2.6551,0,0,0
2.5176,2.5789,0,0,0,2.4879,2.6504,0,0,0
2.5269,2.5796,0,0,0,2.4746,2.6874,0,0,0
2.5113,2.5864,0,0,0,2.4751,2.6474,0,0,0
2.5117,2.5803,0,0,0,2.4842,2.6485,0,0,0
2.5307,2.5748,0,0,0,2.4743,2.6638,0,0,0
2.5128,2.5817,0,0,0,2.446,2.6608,0,0,0
2.5019,2.587,0,0,0,2.4334,2.6443,0,0,0
2.5054,2.5729,0,0,0,2.446,2.6537,0,0,0
2.5248,2.574,0,0,0,2.4476,2.6504,0,0,0
2.5192,2.5778,0,0,0,2.4602,2.6326,0,0,0
2.5072,2.5866,0,0,0,2.4674,2.6397,0,0,0
2.5218,2.578,0,0,0,2.4677,2.6461,0,0,0
2.5222,2.5838,0,0,0,2.4571,2.6689,0,0,0
2.5092,2.5773,0,0,0,2.4618,2.6852,0,0,0
2.5229,2.5756,0,0,0,2.4861,2.7017,0,0,0
2.5201,2.5839,0,0,0,2.4803,2.7069,0,0,0
2.5157,2.5939,0,0,0,2.4755,2.7011,0,0,0
2.5191,2.5959,0,0,0,2.4939,2.7103,0,0,0
2.5336,2.605,0,0,0,2.5043,2.6811,0,0,0
2.5145,2.605,0,0,0,2.511,2.6889,0,0,0
2.5351,2.5968,0,0,0,2.4897,2.6898,0,0,0
2.5314,2.5874,0,0,0,2.4805,2.6973,0,0,0
2.5445,2.5839,0,0,0,2.4831,2.6866,0,0,0
2.5389,2.5972,0,0,0,2.4909,2.697,0,0,0
2.5333,2.5875,0,0,0,2.4918,2.7032,0,0,0
2.5539,2.5863,0,0,0,2.5011,2.6912,0,0,0
2.5441,2.603,0,0,0,2.4891,2.7014,0,0,0
2.5258,2.591,0,0,0,2.4806,2.6742,0,0,0
2.5387,2.5897,0,0,0,2.5083,2.6731,0,0,0
2.551,2.5999,0,0,0,2.4853,2.6711,0,0,0
2.5558,2.5921,0,0,0,2.4923,2.6798,0,0,0
2.5481,2.5997,0,0,0,2.4806,2.6768,0,0,0
2.5552,2.5942,0,0,0,2.494,2.6854,0,0,0
2.5455,2.6128,0,0,0,2.4972,2.676,0,0,0
2.5461,2.6093,0,0,0,2.5176,2.6894,0,0,0
2.5528,2.6115,0,0,0,2.5295,2.6894,0,0,0
2.5626,2.6049,0,0,0,2.5101,2.7131,0,0,0
2.546,2.594,0,0,0,2.4747,2.7218,0,0,0
2.553,2.5895,0,0,0,2.4798,2.7202,0,0,0
2.5581,2.5941,0,0,0,2.4573,2.7162,0,0,0
2.5632,2.6002,0,0,0,2.475,2.6892,0,0,0
2.571,2.6061,0,0,0,2.4794,2.7067,0,0,0
2.5507,2.6042,0,0,0,2.4819,2.6924,0,0,0
2.5539,2.6257,0,0,0,2.493,2.687,0,0,0
2.5384,2.629,0,0,0,2.4746,2.7055,0,0,0
2.5294,2.6192,0,0,0,2.4893,2.7002,0,0,0
2.5216,2.6347,0,0,0,2.5202,2.6891,0,0,0
2.5164,2.6095,0,0,0,2.5129,2.6882,0,0,0
2.5351,2.6208,0,0,0,2.4857,2.6928,0,0,0
2.5422,2.6099,0,0,0,2.472,2.7248,0,0,0
2.559,2.6481,0,0,0,2.489,2.7476,0,0,0
2.5573,2.6427,0,0,0,2.4874,2.7509,0,0,0
2.5678,2.6403,0,0,0,2.5036,2.762,0,0,0
2.5833,2.629,0,0,0,2.4985,2.7624,0,0,0
2.5917,2.6029,0,0,0,2.4888,2.7252,0,0,0
2.5978,2.6015,0,0,0,2.4701,2.7471,0,0,0
2.5925,2.6167,0,0,0,2.4699,2.7378,0,0,0
2.5944,2.6265,0,0,0,2.4809,2.733,0,0,0
2.5986,2.6098,0,0,0,2.4983,2.7091,0,0,0
2.5881,2.6128,0,0,0,2.5052,2.7054,0,0,0
2.5896,2.6286,0,0,0,2.5122,2.7255,0,0,0
2.5946,2.6169,0,0,0,2.5013,2.7446,0,0,0
2.5844,2.6319,0,0,0,2.4955,2.7463,0,0,0
2.5676,2.6257,0,0,0,2.477,2.7211,0,0,0
2.5505,2.6428,0,0,0,2.5084,2.7071,0,0,0
2.5357,2.6435,0,0,0,2.4839,2.7087,0,0,0
2.5447,2.6437,0,0,0,2.5158,2.6944,0,0,0
2.5458,2.6387,0,0,0,2.5228,2.6803,0,0,0
2.5435,2.6373,0,0,0,2.5434,2.7263,0,0,0
2.5611,2.6519,0,0,0,2.5368,2.7319,0,0,0
2.5852,2.647,0,0,0,2.5273,2.7566,0,0,0
2.5674,2.6296,0,0,0,2.5255,2.7541,0,0,0
2.5614,2.6157,0,0,0,2.5241,2.7798,0,0,0
2.5668,2.6456,0,0,0,2.5208,2.7687,0,0,0
2.5626,2.6283,0,0,0,2.5142,2.7572,0,0,0
2.6003,2.6248,0,0,0,2.4921,2.7523,0,0,0
2.5847,2.6399,0,0,0,2.5095,2.7533,0,0,0
2.5873,2.6444,0,0,0,2.521,2.7551,0,0,0
2.583,2.636,0,0,0,2.5033,2.7235,0,0,0
2.6058,2.6324,0,0,0,2.5178,2.74,0,0,0
2.6046,2.6184,0,0,0,2.5039,2.7615,0,0,0
