pcorrect_x_fit,pcorrect_y_fit
45.363,0.98892
45.414,0.98898
45.466,0.98904
45.517,0.98909
45.568,0.98915
45.619,0.98921
45.67,0.98926
45.722,0.98932
45.773,0.98938
45.824,0.98943
45.875,0.98949
45.926,0.98954
45.978,0.9896
46.029,0.98965
46.08,0.98971
46.131,0.98976
46.182,0.98981
46.234,0.98987
46.285,0.98992
46.336,0.98997
46.387,0.99002
46.438,0.99008
46.49,0.99013
46.541,0.99018
46.592,0.99023
46.643,0.99028
46.694,0.99033
46.746,0.99038
46.797,0.99044
46.848,0.99049
46.899,0.99054
46.95,0.99059
47.002,0.99063
47.053,0.99068
47.104,0.99073
47.155,0.99078
47.206,0.99083
47.258,0.99088
47.309,0.99093
47.36,0.99097
47.411,0.99102
47.462,0.99107
47.514,0.99112
47.565,0.99116
47.616,0.99121
47.667,0.99126
47.718,0.9913
47.77,0.99135
47.821,0.99139
47.872,0.99144
47.923,0.99148
47.974,0.99153
48.026,0.99157
48.077,0.99162
48.128,0.99166
48.179,0.99171
48.23,0.99175
48.282,0.99179
48.333,0.99184
48.384,0.99188
48.435,0.99192
48.486,0.99197
48.538,0.99201
48.589,0.99205
48.64,0.99209
48.691,0.99213
48.742,0.99218
48.794,0.99222
48.845,0.99226
48.896,0.9923
48.947,0.99234
48.998,0.99238
49.05,0.99242
49.101,0.99246
49.152,0.9925
49.203,0.99254
49.254,0.99258
49.306,0.99262
49.357,0.99266
49.408,0.9927
49.459,0.99274
49.51,0.99278
49.562,0.99281
49.613,0.99285
49.664,0.99289
49.715,0.99293
49.766,0.99297
49.818,0.993
49.869,0.99304
49.92,0.99308
49.971,0.99311
50.022,0.99315
50.074,0.99319
50.125,0.99322
50.176,0.99326
50.227,0.9933
50.278,0.99333
50.33,0.99337
50.381,0.9934
50.432,0.99344
50.483,0.99347
50.534,0.99351
50.586,0.99354
50.637,0.99358
50.688,0.99361
50.739,0.99365
50.79,0.99368
50.842,0.99371
50.893,0.99375
50.944,0.99378
50.995,0.99381
51.046,0.99385
51.098,0.99388
51.149,0.99391
51.2,0.99394
