x_fit,y_fit
0.847,0.83894
0.848,0.83939
0.849,0.83985
0.85,0.84031
0.851,0.84076
0.852,0.84122
0.853,0.84167
0.854,0.84213
0.855,0.84258
0.856,0.84304
0.857,0.8435
0.858,0.84395
0.859,0.84441
0.86,0.84487
0.861,0.84532
0.862,0.84578
0.863,0.84624
0.864,0.8467
0.865,0.84715
0.866,0.84761
0.867,0.84807
0.868,0.84853
0.869,0.84899
0.87,0.84944
0.871,0.8499
0.872,0.85036
0.873,0.85082
0.874,0.85128
0.875,0.85174
0.876,0.8522
0.877,0.85266
0.878,0.85312
0.879,0.85358
0.88,0.85403
0.881,0.85449
0.882,0.85495
0.883,0.85541
0.884,0.85587
0.885,0.85634
0.886,0.8568
0.887,0.85726
0.888,0.85772
0.889,0.85818
0.89,0.85864
0.891,0.8591
0.892,0.85956
0.893,0.86002
0.894,0.86048
0.895,0.86094
0.896,0.86141
0.897,0.86187
0.898,0.86233
0.899,0.86279
0.9,0.86325
0.901,0.86372
0.902,0.86418
0.903,0.86464
0.904,0.8651
0.905,0.86557
0.906,0.86603
0.907,0.86649
0.908,0.86695
0.909,0.86742
0.91,0.86788
0.911,0.86834
0.912,0.86881
0.913,0.86927
0.914,0.86973
0.915,0.8702
0.916,0.87066
0.917,0.87112
0.918,0.87159
0.919,0.87205
0.92,0.87252
0.921,0.87298
0.922,0.87344
0.923,0.87391
0.924,0.87437
0.925,0.87484
0.926,0.8753
0.927,0.87577
0.928,0.87623
0.929,0.8767
0.93,0.87716
0.931,0.87763
0.932,0.87809
0.933,0.87856
0.934,0.87902
0.935,0.87949
0.936,0.87995
0.937,0.88042
0.938,0.88088
0.939,0.88135
0.94,0.88181
0.941,0.88228
0.942,0.88274
0.943,0.88321
0.944,0.88368
0.945,0.88414
0.946,0.88461
0.947,0.88507
0.948,0.88554
0.949,0.88601
0.95,0.88647
0.951,0.88694
0.952,0.8874
0.953,0.88787
0.954,0.88834
0.955,0.8888
0.956,0.88927
0.957,0.88974
0.958,0.8902
0.959,0.89067
0.96,0.89114
0.961,0.8916
0.962,0.89207
0.963,0.89254
0.964,0.893
0.965,0.89347
0.966,0.89394
0.967,0.8944
0.968,0.89487
0.969,0.89534
0.97,0.8958
0.971,0.89627
0.972,0.89674
0.973,0.89721
0.974,0.89767
0.975,0.89814
0.976,0.89861
0.977,0.89907
0.978,0.89954
0.979,0.90001
0.98,0.90048
0.981,0.90094
0.982,0.90141
0.983,0.90188
0.984,0.90235
0.985,0.90281
0.986,0.90328
0.987,0.90375
0.988,0.90422
0.989,0.90468
0.99,0.90515
0.991,0.90562
0.992,0.90608
0.993,0.90655
0.994,0.90702
0.995,0.90749
0.996,0.90795
0.997,0.90842
0.998,0.90889
0.999,0.90936
1,0.90982
