is_com,coherence,eye_IT
395,0,0,0.99012
396,0,0,0.93328
397,0,0,0.46211
398,0,0,0.97282
399,0,0,0.72488
400,0,0,0.98023
401,0,0,0.46211
402,0,0,0.52142
403,0,0,0.96952
404,0,0,0.79984
405,0,0,0.96952
406,0,0,0.40362
407,0,0,0.61779
408,0,0,0.72241
409,0,0,0.97117
410,0,0,0.6598
411,0,0,0.59885
412,0,0,0.97941
413,0,0,0.4061
414,0,0,0.98764
415,0,0,0.41269
416,0,0,0.54283
417,0,0,0.99341
418,0,0,0.74135
419,0,0,0.98435
420,0,0,0.41763
421,0,0,0.58979
422,1,0,0.73229
423,0,0,0.72158
424,0,0,0.97776
425,0,0,0.97035
426,0,0,0.6804
427,0,0,0.44399
428,0,0,0.97446
429,0,0,0.50329
430,0,0,0.67875
431,0,0,0.97694
432,1,0,0.5972
433,0,0,0.76853
434,0,0,0.83443
435,0,0,0.25865
436,0,0,0.73888
437,0,0,0.81137
438,1,0,0.97529
439,0,0,0.48188
440,0,0,0.83443
441,0,0,0.28007
442,0,0,0.80395
443,0,0,0.98435
444,0,0,0.90198
445,0,0,0.38138
446,0,0,0.56343
447,0,0,0.97858
448,0,0,0.69522
449,1,0,0.9827
450,0,0,0.53954
451,0,0,0.93081
452,0,0,0.70675
453,0,0,0.96952
454,0,0,0.55848
455,0,0,0.92998
456,0,0,0.94646
457,0,0,0.36985
458,0,0,0.9827
459,0,0,0.87068
460,0,0,0.76771
461,0,0,0.51318
462,0,0,0.5453
463,0,0,0.97776
464,0,0,0.98682
465,0,0,0.37974
466,0,0,0.54201
467,0,0,0.46211
468,0,0,0.76277
469,0,0,0.48847
470,1,0,0.9827
471,0,0,0.49918
472,0,0,0.94316
473,0,0,0.98023
474,0,0,0.84349
475,0,0,0.58237
476,0,0,0.61367
477,0,0,0.57084
478,0,0,0.97776
479,0,0,0.54695
480,0,0,0.53295
481,0,0,0.69357
482,0,0,0.55519
483,1,0,0.98105
484,0,0,0.97364
485,0,0,0.65815
486,0,0,0.38797
487,0,0,0.85914
488,0,0,0.97199
489,0,0,0.28336
490,0,0,0.97282
491,0,0,0.78007
492,0,0,0.7743
493,0,0,0.97364
494,0,0,0.97035
495,0,0,0.99012
496,0,0,0.66227
497,0,0,0.39456
498,0,0,0.50082
499,0,0,0.97199
500,0,0,0.986
501,0,0,0.39868
502,0,0,0.79242
503,0,0,0.9341
504,0,0,0.65321
505,0,0,0.97529
506,0,0,0.98847
507,0,0,0.88056
508,0,0,0.32455
509,0,0,0.60873
510,0,0,0.76524
511,0,0,0.68616
512,0,0,0.98517
513,0,0,0.67875
514,0,0,0.98435
515,0,0,0.83608
516,0,0,0.5832
517,0,0,0.49094
518,0,0,0.67628
519,0,0,0.98929
520,0,0,0.84679
521,0,0,0.81301
522,0,0,0.97941
523,0,0,0.57578
524,0,0,0.98435
525,0,0,0.80066
526,0,0,0.84267
527,1,0,0.98764
528,0,0,0.70758
529,0,0,0.97694
530,0,0,0.55519
531,0,0,0.80148
532,0,0,0.98105
533,0,0,0.62521
534,0,0,0.82949
535,0,0,0.51647
536,0,0,0.59967
537,0,0,0.99423
538,0,0,0.50577
539,0,0,0.87068
540,0,0,0.97858
541,0,0,0.30725
542,0,0,0.74217
543,0,0,0.89209
544,0,0,0.98353
545,0,0,0.98188
546,0,0,0.85338
547,0,0,0.61614
548,0,0,0.3888
549,0,0,0.79489
550,0,0,0.69934
551,0,0,0.97529
552,0,0,0.88962
553,0,0,0.44234
554,0,0,0.79736
555,0,0,0.97117
556,0,0,0.97529
557,0,0,0.97282
558,0,0,0.85255
559,0,0,0.52801
560,0,0,0.98517
561,0,0,0.66227
562,0,0,0.98517
563,0,0,0.98435
564,0,0,0.98764
565,0,0,0.98353
566,0,0,0.486
567,0,0,0.66557
568,0,0,0.85008
569,0,0,0.69769
570,0,0,0.39786
571,0,0,0.61944
572,0,0,0.54613
573,0,0,0.75783
574,0,0,0.98353
575,0,0,0.71417
576,0,0,0.90445
577,0,0,0.91433
578,0,0,0.70016
579,0,0,0.66969
580,0,0,0.97364
581,0,0,0.63509
582,0,0,0.52636
583,0,0,0.986
584,0,0,0.38056
585,0,0,0.51565
586,0,0,0.98023
587,0,0,0.50659
588,0,0,0.76524
589,0,0,0.66474
590,0,0,0.75206
591,0,0,0.97611
592,0,0,0.81301
593,0,0,0.73723
594,0,0,0.83361
595,0,0,0.96376
596,0,0,0.59308
597,0,0,0.39292
598,0,0,0.74053
599,0,0,0.97941
600,0,0,0.9827
601,0,0,0.47446
602,0,0,0.40362
603,1,0,0.9168
604,0,0,0.9201
605,0,0,0.66639
