uncertainty,IT
0.11138,0.96327
0.82101,0.99082
0.52859,0.98164
0.34392,0.97579
0.17307,0.96745
0.24496,0.96912
0.48907,0.97746
0.23869,0.96995
0.41599,0.9783
0.40088,0.9808
0.81948,0.99583
0.15618,0.96578
0.69413,0.98581
0.54494,0.9808
0.40859,0.97496
0.32216,0.97412
0.68646,0.98581
0.16696,0.96745
0.70086,0.98748
0.53631,0.98748
0.4748,0.98164
0.096902,0.96411
0.42464,0.9783
0.7104,0.98331
0.43044,0.97663
0.66065,0.98414
0.64137,0.98664
0.22293,0.97078
0.3878,0.97579
0.45958,0.9808
0.7103,0.99583
0.45541,0.97579
0.30158,0.97245
0.42102,0.97579
0.45263,0.97997
0.40183,0.97746
0.57658,0.9808
0.52482,0.98164
0.58216,0.98247
0.41894,0.97913
0.32644,0.97579
0.65596,0.98331
0.087265,0.96244
0.62969,0.98331
0.46754,0.9783
0.58287,0.98331
0.43368,0.97913
0.37671,0.97329
0.50133,0.98247
0.18985,0.96828
0.25712,0.96995
0.10997,0.96494
0.48615,0.98164
0.29666,0.97329
0.31708,0.97329
0.41138,0.97663
0.34871,0.97412
0.26911,0.97245
0.65986,0.98831
0.27206,0.96995
0.51638,0.98331
0.2363,0.97245
0.61071,0.98331
0.13401,0.96661
0.2879,0.97162
0.43377,0.97997
0.45959,0.9783
0.44673,0.97663
0.52173,0.97997
0.067187,0.9616
0.3925,0.9783
0.7138,0.98748
0.55786,0.98164
0.24017,0.96995
0.20765,0.96995
0.2965,0.97162
0.48545,0.9808
0.60083,0.98581
0.46566,0.97746
0.085552,0.9616
0.6618,0.98331
0.22998,0.97078
0.22088,0.96828
0.60617,0.98414
0.42848,0.97579
0.77181,0.99249
0.34014,0.97496
0.61417,0.98497
0.62709,0.98164
0.3131,0.97329
0.28333,0.96828
0.11396,0.96411
0.184,0.96661
0.23031,0.97078
0.62721,0.98664
0.64897,0.98164
0.45435,0.9808
0.36535,0.97329
0.22166,0.96995
0.30131,0.97579
0.50546,0.9783
0.55692,0.9808
0.54725,0.98331
0.37496,0.97579
0.64841,0.98998
0.32735,0.97412
0.32278,0.97162
0.30106,0.97329
0.36964,0.97496
0.62338,0.98581
0.80369,0.98831
0.25005,0.97078
0.65533,0.98331
0.20989,0.96828
0.45231,0.98247
0.38099,0.97663
0.52383,0.98247
0.42199,0.97746
0.74385,0.98915
0.65938,0.98915
0.18416,0.96828
0.5521,0.98497
0.2595,0.97412
0.53439,0.98164
0.25275,0.96912
0.76529,0.98831
0.50721,0.9783
0.47438,0.97913
0.23709,0.96912
0.65368,0.98748
0.61632,0.98414
0.59458,0.98831
0.46022,0.98497
0.27561,0.97245
0.33823,0.97663
0.46159,0.9783
0.65601,0.98748
0.44526,0.97579
0.53047,0.97913
0.3798,0.97746
0.45215,0.98164
0.6049,0.98331
0.54371,0.98414
0.33576,0.97496
0.17051,0.96828
0.77006,0.99082
0.38421,0.97746
0.37094,0.97329
0.6155,0.97997
0.52993,0.97913
0.6898,0.98247
0.12343,0.96327
0.61204,0.98247
0.18429,0.96745
0.63078,0.98331
0.56778,0.98164
0.57839,0.98247
0.45491,0.97913
0.32004,0.97412
0.32272,0.97663
0.32801,0.97078
0.29904,0.97329
0.22389,0.96912
0.52892,0.97997
0.43166,0.97663
0.60842,0.98164
0.57038,0.98247
0.29083,0.97162
0.063436,0.9616
0.23951,0.97078
0.70201,0.9808
0.29705,0.97329
0.083688,0.96244
0.38745,0.97579
0.40588,0.97663
0.61448,0.98497
0.54146,0.97913
0.59865,0.98414
0.24702,0.96995
0.29557,0.97329
0.59529,0.9808
0.37912,0.97412
0.6816,0.98414
0.32021,0.97663
0.73046,0.98497
0.44524,0.97997
0.51819,0.98247
0.18942,0.96828
0.72156,0.99165
0.27539,0.97078
0.17525,0.96578
0.56832,0.98581
0.12554,0.96411
0.27862,0.97162
0.32819,0.97329
0.2601,0.96995
0.19033,0.96828
0.62343,0.98247
0.30619,0.97245
0.27525,0.96912
0.38511,0.97746
0.15098,0.96494
0.49799,0.9808
0.31478,0.97329
0.58405,0.98247
0.50782,0.98164
0.57935,0.97997
0.82842,0.98748
0.18469,0.96828
0.55806,0.98247
0.77297,0.98748
0.44103,0.9808
0.26128,0.96995
0.5627,0.98497
0.49663,0.98414
0.46528,0.97746
0.27269,0.97162
0.47901,0.9783
0.57251,0.98414
0.4327,0.98247
0.09967,0.96327
0.61241,0.98164
0.34589,0.97245
0.56146,0.98664
0.26907,0.97078
0.64849,0.98998
0.62409,0.98414
0.31399,0.97579
0.15383,0.96661
0.67042,0.99165
0.35611,0.97412
0.56313,0.98831
0.095187,0.96327
0.40287,0.97746
0.50574,0.97997
0.44307,0.98331
0.70581,0.98247
0.1669,0.96661
0.6887,0.98331
0.19279,0.96661
0.56084,0.97913
0.30912,0.97162
0.58277,0.98247
0.35246,0.97412
0.58992,0.98831
0.26894,0.97329
0.46791,0.97663
0.3881,0.97663
0.25282,0.97078
0.25222,0.97078
0.61301,0.98497
0.34913,0.97245
0.47147,0.98497
0.37194,0.97496
0.44157,0.97746
0.41422,0.97913
0.59068,0.98998
0.63363,0.98581
0.51125,0.97913
0.52745,0.98497
0.49228,0.98164
0.32318,0.97663
0.42116,0.9783
0.66719,0.98414
0.30396,0.97078
0.49198,0.97663
0.2012,0.96828
0.34662,0.97496
0.054476,0.96077
0.51138,0.98331
0.27987,0.97412
0.38387,0.97579
0.62404,0.98247
0.32687,0.97496
0.27202,0.96912
0.38348,0.97579
0.25054,0.97078
0.40244,0.97496
0.022428,0.9591
0.68398,0.98164
0.40462,0.9783
0.36839,0.97412
0.42735,0.97913
0.59609,0.98331
0.30678,0.97412
0.38155,0.97245
0.25671,0.97078
0.73584,0.98664
0.21884,0.96995
0.50333,0.98164
0.61293,0.98414
0.43202,0.97746
0.57666,0.98247
0.57594,0.97997
0.2176,0.96828
0.5404,0.98581
0.70613,0.98164
0.81369,0.99332
0.82781,0.99332
0.30019,0.97162
0.34187,0.97663
0.10005,0.96327
0.79757,0.99249
0.23345,0.96828
0.12109,0.96411
0.078361,0.9616
0.53847,0.98247
0.71369,0.98497
0.24054,0.97078
0.13315,0.96411
0.43747,0.97579
0.43152,0.97663
0.31071,0.97245
0.53657,0.98581
0.3419,0.97579
0.33212,0.97579
0.32499,0.97078
0.29336,0.97329
0.22963,0.96912
0.30648,0.97329
0.41622,0.97997
0.44426,0.97913
0.61436,0.98247
0.33002,0.97412
0.20357,0.96745
0.70239,0.98831
0.36404,0.97579
0.58488,0.98414
0.64862,0.98331
0.47317,0.97663
0.48689,0.98164
0.59998,0.98164
0.71846,0.98831
0.76355,0.98664
0.22593,0.97078
0.81541,0.98414
0.49171,0.97913
0.38532,0.97663
0.42234,0.9783
0.47751,0.97913
0.64518,0.98748
0.031665,0.95993
0.63021,0.98331
0.4644,0.9783
0.66714,0.98581
0.14663,0.96578
0.60539,0.9783
0.34469,0.97496
0.41628,0.97663
0.45324,0.9783
0.18824,0.96578
0.53741,0.97663
0.72943,0.98915
0.45424,0.97913
0.49223,0.97997
0.32819,0.9783
0.57902,0.98164
0.28705,0.97078
0.042319,0.95993
0.56131,0.97746
0.27047,0.97162
0.47712,0.97997
0.41808,0.97579
0.26507,0.97078
0.30011,0.97078
0.32268,0.97329
0.30627,0.97329
0.13448,0.96661
0.70363,0.98164
0.60339,0.98748
0.35403,0.97496
0.4934,0.9808
0.76861,0.99082
0.39705,0.97997
0.51542,0.9808
0.23143,0.96912
0.17756,0.96661
0.3693,0.97496
0.44663,0.97663
0.33028,0.97162
0.65981,0.98414
0.30065,0.97078
0.44578,0.97913
0.39166,0.97329
0.52166,0.97997
0.31929,0.97245
0.39559,0.98164
0.60554,0.98915
0.55152,0.98497
0.17664,0.96661
0.55076,0.97913
0.27643,0.97078
0.44417,0.9783
0.34057,0.97329
0.53883,0.97913
0.7581,0.98247
0.34273,0.97496
0.2867,0.97162
0.30473,0.97162
0.32378,0.97245
0.44905,0.97913
0.13673,0.96661
0.49979,0.98247
0.65797,0.98414
0.4416,0.97913
0.40734,0.98164
0.35275,0.97245
0.16201,0.96578
0.28161,0.96995
0.49594,0.98164
0.35998,0.97496
0.67256,0.98497
0.1923,0.96745
0.69392,0.98664
0.32816,0.97329
0.48221,0.9808
0.29893,0.97162
0.55185,0.98247
0.61289,0.98497
0.52036,0.98247
0.79964,0.99249
0.39172,0.97663
0.45023,0.9783
0.53853,0.97746
0.40139,0.97663
0.37503,0.97412
0.32279,0.97412
0.19427,0.96745
0.18207,0.96828
0.57216,0.98414
0.89338,0.98998
0.54458,0.9808
0.52279,0.98581
0.31558,0.97078
0.50208,0.97913
0.77396,0.98748
0.60329,0.97913
0.32902,0.97412
0.43339,0.97997
0.4005,0.97412
0.28097,0.97078
0.34254,0.97329
0.62848,0.98748
0.42613,0.97663
0.37951,0.97746
0.50269,0.97997
0.43078,0.9783
0.3943,0.97496
0.31781,0.97412
0.45631,0.9783
0.19469,0.96912
0.61983,0.98247
0.1332,0.96494
0.43558,0.9808
0.78782,0.98915
0.41148,0.97663
0.29164,0.97245
0.52058,0.98497
0.56009,0.97746
0.34229,0.97329
0.61478,0.98414
0.64463,0.98748
0.44798,0.97997
0.2084,0.96745
0.75729,0.98831
0.34891,0.9783
0.40629,0.9808
0.34594,0.97412
0.41147,0.97997
0.58771,0.97997
0.55086,0.97913
0.21852,0.96912
0.28638,0.97245
0.61316,0.98497
0.51456,0.97997
0.38119,0.9783
0.50515,0.98164
0.25751,0.97245
0.25892,0.96995
0.55046,0.9808
0.74853,0.99332
0.44764,0.9783
0.22529,0.96828
0.34192,0.97663
0.2732,0.97078
0.23902,0.96995
0.47007,0.9783
0.56287,0.98414
